kernel,count,mean_%,median_%,max_%
atomic_hotspot,3,45.12284635466049,45.15810809112388,45.179275411463266
conv2d_3x3,8,89.3175123651003,41.74860723245677,404.74543023384973
conv2d_7x7,8,115.8354365487031,41.489450175803086,566.595538016135
dot_product,8,80.38232412627214,48.72083304174135,334.42594616027344
histogram,8,90.64680823243832,44.54634832008371,353.58458466657805
matmul_naive,9,192.45430973969425,99.88080002592316,953.6939886139972
matmul_tiled,9,361.79163606920173,200.57582203975502,1598.106326449342
naive_transpose,8,35.58497713180191,30.167773895150706,99.95155278392203
random_access,8,82.83618251717274,64.28666930348155,282.4667852105661
reduce_sum,8,81.63798990955996,57.805469664688715,294.2658855258856
saxpy,8,87.47893719389714,58.79652889913094,384.7270694172802
shared_transpose,8,33.167182073857504,14.693394111830143,99.80527217413669
strided_copy_8,8,87.64663807156123,69.3255335636018,325.73065006935207
vector_add,8,90.7511433499781,65.0377617829287,398.62540460031846
vector_add_divergent,8,76.03133597073493,51.781811077101494,209.54944763470598
