kernel,config_id,src_gpu,tgt_gpu,T_src_ms,T_tgt_true_ms,T_tgt_pred_ms,ratio_pred_over_true,abs_rel_error,config_role
matmul_naive,matmul_naive|N=0|rows=256|cols=256|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.030181,0.029174,0.05121119465483689,1.755371037733492,0.7553710377334918,train_extra
matmul_naive,matmul_naive|N=0|rows=256|cols=256|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA GeForce GTX TITAN X,0.030181,0.66763,0.11122188971235848,0.16659210897107454,0.8334078910289255,train_extra
matmul_naive,matmul_naive|N=0|rows=256|cols=256|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.029174,0.030181,0.017193515986779213,0.569680129444989,0.430319870555011,train_extra
matmul_naive,matmul_naive|N=0|rows=256|cols=256|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce GTX TITAN X,0.029174,0.66763,0.06336090052845267,0.09490421420315545,0.9050957857968446,train_extra
matmul_naive,matmul_naive|N=0|rows=256|cols=256|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce RTX 4070,0.66763,0.030181,0.1811670443840791,6.0026852782902855,5.002685278290285,train_extra
matmul_naive,matmul_naive|N=0|rows=256|cols=256|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.66763,0.029174,0.3074046842382475,10.536939886139972,9.536939886139972,train_extra
naive_transpose,naive_transpose|N=0|rows=1024|cols=1024|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.031663,0.032594,0.023204997114281027,0.7119407594735543,0.2880592405264457,train_extra
naive_transpose,naive_transpose|N=0|rows=1024|cols=1024|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA GeForce GTX TITAN X,0.031663,0.105726,0.05519138844908941,0.5220228557695308,0.4779771442304692,train_extra
naive_transpose,naive_transpose|N=0|rows=1024|cols=1024|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.032594,0.031663,0.04447420600474294,1.4046112498734467,0.40461124987344665,train_extra
naive_transpose,naive_transpose|N=0|rows=1024|cols=1024|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce GTX TITAN X,0.032594,0.105726,0.07752244511172639,0.7332391759049466,0.26676082409505336,train_extra
naive_transpose,naive_transpose|N=0|rows=1024|cols=1024|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce RTX 4070,0.105726,0.031663,0.060654432368338625,1.915624936624408,0.915624936624408,train_extra
naive_transpose,naive_transpose|N=0|rows=1024|cols=1024|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.105726,0.032594,0.04445207112641417,1.3638114722468604,0.36381147224686045,train_extra
naive_transpose,naive_transpose|N=0|rows=512|cols=512|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.009424,0.010087,0.0069066068535825545,0.6847037626234316,0.3152962373765684,baseline
naive_transpose,naive_transpose|N=0|rows=512|cols=512|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA GeForce GTX TITAN X,0.009424,0.028022,0.016426859259836994,0.5862129491055954,0.4137870508944046,baseline
naive_transpose,naive_transpose|N=0|rows=512|cols=512|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.010087,0.009424,0.013763616492907959,1.4604856210640873,0.46048562106408725,baseline
