kernel,config_id,src_gpu,tgt_gpu,T_src_ms,T_tgt_true_ms,T_tgt_pred_ms,ratio_pred_over_true,abs_rel_error,config_role
dot_product,dot_product|N=4194304|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.05118,0.056056,0.03750850368912936,0.6691255831513016,0.3308744168486984,other
dot_product,dot_product|N=4194304|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.045596,0.056056,0.019170654664699124,0.34199112788459973,0.6580088721154003,other
dot_product,dot_product|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.146827,0.108007,0.10760572628299724,0.9962847434240116,0.003715256575988318,test_extra
histogram,histogram|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 2080 Ti,NVIDIA TITAN V,0.000208,0.067764,0.00018453989178553862,0.0027232732982931736,0.997276726701707,other
histogram,histogram|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.051404,0.067764,0.03767266751926545,0.5559392526897091,0.4440607473102909,other
histogram,histogram|N=1048576|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.204392,0.067764,0.08593579367109362,1.2681629430242254,0.2681629430242255,other
histogram,histogram|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.014313,0.018964,0.01048962902115101,0.5531337809086168,0.4468662190913832,train_extra
histogram,histogram|N=262144|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.204587,0.018964,0.08601778063616988,4.535845846665781,3.5358458466657807,train_extra
histogram,histogram|N=4194304|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.199868,0.263057,0.14647810893589114,0.5568303026944394,0.4431696973055606,other
histogram,histogram|N=4194304|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.204507,0.263057,0.08598414495818987,0.32686507090930816,0.6731349290906918,other
