kernel,count,mean_%,median_%,max_%
atomic_hotspot,2,63.796020648096544,63.796020648096544,82.41276588472981
conv2d_3x3,2,13.846681588995091,13.846681588995091,14.800782996649728
conv2d_7x7,2,29.103329536835982,29.103329536835982,33.25227955616968
dot_product,2,0.37221838784069317,0.37221838784069317,0.3729111180825545
histogram,2,61.96467134123288,61.96467134123288,79.60658774192318
matmul_naive,6,1670.647469544637,109.97970256523637,6687.2132842945475
matmul_tiled,6,2613.5907833127117,179.18835559363166,11910.424974018415
random_access,2,6.074200319476014,6.074200319476014,6.258510016759061
reduce_sum,2,19.500131508424065,19.500131508424065,21.38366859291006
saxpy,2,2.367002043456951,2.367002043456951,2.3950116141453606
strided_copy_8,2,2.8276436442930444,2.8276436442930444,2.8676134992420836
vector_add,2,2.324820997601767,2.324820997601767,2.351841310469696
vector_add_divergent,2,77.87689135603404,77.87689135603404,104.62392369714854
