kernel,count,PK_MAPE_%,PK_MAX_%,PK_MedAE_ms,PK_R2
shared_bank_conflict,2,5050.977289512558,5419.079394387003,0.06839023250000004,
reduce_sum,8,405.6230341826342,1629.5976184569624,0.017101352500000003,-2.506039138461749
strided_copy_8,8,330.5582491428134,1742.8556201550407,0.03088398250000006,0.06663740311275024
random_access,8,314.5199857685693,1684.918328704877,0.026364882500000103,0.18463533231666196
dot_product,8,301.1387309119512,1432.9438660027167,0.01974907250000005,0.1530463856436728
vector_add,8,289.8454906250918,1569.3534965034996,0.017494245000000033,0.6668106214996301
saxpy,8,269.7773367571007,1396.74733861835,0.023010842500000076,0.6924850374588485
conv2d_3x3,8,263.1828294026817,1122.449991069836,0.019767697500000028,0.5608406691306973
matmul_tiled,9,261.56741407706517,730.6109234925686,0.11964211499999979,0.5963072875747547
matmul_naive,9,254.36041451056767,1279.6171419757297,0.20005216000000012,0.8799793388663989
conv2d_7x7,8,195.97720048581496,598.652764622307,0.08053019000000042,0.7257188077663592
shared_transpose,8,170.18288597305232,647.1146953405016,0.028697347499999967,0.49723429275069153
naive_transpose,8,111.12328249919963,502.80851591157,0.035522019999999946,0.8110179130408457
histogram,8,106.3537155699977,306.3308637418271,0.05743429250000006,0.33340715634895546
vector_add_divergent,8,84.9126943180462,241.427271120538,0.053609310000000084,0.3121269283710175
atomic_hotspot,3,38.518640154443624,53.911171504240016,0.5720574150000011,0.3973299939195203
