kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,rows,cols,iters,block,grid_blocks,size_kind
dot_product,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.045364,0.000210,65536,1,0,256,256,rows_cols
dot_product,--rows 262144 --cols 1 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,20,100,10,0.045649,0.000154,262144,1,0,256,1024,rows_cols
dot_product,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,20,100,10,0.045515,0.000159,1048576,1,0,256,4096,rows_cols
dot_product,--rows 4194304 --cols 1 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,20,100,10,0.045596,0.000221,4194304,1,0,256,16384,rows_cols
shared_transpose,--rows 512 --cols 512 --warmup 20 --reps 100,10,4224,NVIDIA GeForce GTX TITAN X,32,32,1,16,16,1,20,100,10,0.008741,0.000035,512,512,0,1024,256,rows_cols
shared_transpose,--rows 1024 --cols 1024 --warmup 20 --reps 100,10,4224,NVIDIA GeForce GTX TITAN X,32,32,1,32,32,1,20,100,10,0.039154,0.000138,1024,1024,0,1024,1024,rows_cols
shared_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,10,4224,NVIDIA GeForce GTX TITAN X,32,32,1,64,64,1,20,100,10,0.145273,0.000330,2048,2048,0,1024,4096,rows_cols
shared_transpose,--rows 4096 --cols 4096 --warmup 20 --reps 100,10,4224,NVIDIA GeForce GTX TITAN X,32,32,1,128,128,1,20,100,10,0.560757,0.000225,4096,4096,0,1024,16384,rows_cols
shared_bank_conflict,--rows 1 --cols 1 --warmup 20 --reps 100,206,4096,NVIDIA GeForce GTX TITAN X,1024,1,1,1,1,1,20,100,10,0.001362,0.000059,1,1,0,1024,1,rows_cols
strided_copy_8,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.036590,0.000040,65536,1,0,256,256,rows_cols
strided_copy_8,--rows 262144 --cols 1 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,20,100,10,0.036574,0.000026,262144,1,0,256,1024,rows_cols
strided_copy_8,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,20,100,10,0.036573,0.000022,1048576,1,0,256,4096,rows_cols
strided_copy_8,--rows 4194304 --cols 1 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,20,100,10,0.036593,0.000024,4194304,1,0,256,16384,rows_cols
reduce_sum,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.037693,0.000098,65536,1,0,256,256,rows_cols
reduce_sum,--rows 262144 --cols 1 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,20,100,10,0.037800,0.000009,262144,1,0,256,1024,rows_cols
reduce_sum,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,20,100,10,0.037699,0.000104,1048576,1,0,256,4096,rows_cols
reduce_sum,--rows 4194304 --cols 1 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,20,100,10,0.037746,0.000068,4194304,1,0,256,16384,rows_cols
conv2d_7x7,--rows 256 --cols 256 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.267757,0.000051,256,256,0,256,4096,rows_cols
conv2d_7x7,--rows 512 --cols 512 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.267814,0.000051,512,512,0,256,4096,rows_cols
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.267814,0.000029,1024,1024,0,256,4096,rows_cols
