kernel,regs,shmem,mean_ms,std_ms,N,rows,cols,block,grid_blocks,size_kind,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,gpu_device_name,gpu_cc_major,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,calibrated_mem_bandwidth_gbps,calibrated_compute_gflops,achieved_bandwidth_gbps,achieved_compute_gflops,T1_model_ms,speedup_model
saxpy,12,0,0.009312,0.000078,262144,0,0,256,1024,N,524288,3145728,0.166667,3145728,0,coalesced,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,337.81,56.30,0.224125,24.07
saxpy,12,0,0.009304,0.000250,1048576,0,0,256,4096,N,2097152,12582912,0.166667,12582912,0,coalesced,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,1352.42,225.40,0.896498,96.36
saxpy,12,0,0.106717,0.000355,4194304,0,0,256,16384,N,8388608,50331648,0.166667,50331648,0,coalesced,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,471.64,78.61,3.585993,33.60
saxpy,12,0,0.450017,0.000111,16777216,0,0,256,65536,N,33554432,201326592,0.166667,201326592,0,coalesced,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,447.38,74.56,14.343971,31.87
shared_bank_conflict,206,4096,0.005374,0.000144,0,0,0,1024,1,N,0,0,0.000000,4096,4096,smem_bank_conflict,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,0.00,0.00,,
shared_transpose,10,4224,0.008905,0.000324,0,512,512,1024,256,rows_cols,0,2097152,0.000000,2097152,4224,transpose_tiled,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,235.50,0.00,0.149416,16.78
shared_transpose,10,4224,0.013185,0.000019,0,1024,1024,1024,1024,rows_cols,0,8388608,0.000000,8388608,4224,transpose_tiled,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,636.22,0.00,0.597665,45.33
shared_transpose,10,4224,0.047134,0.000028,0,2048,2048,1024,4096,rows_cols,0,33554432,0.000000,33554432,4224,transpose_tiled,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,711.89,0.00,2.390662,50.72
shared_transpose,10,4224,0.418856,0.000034,0,4096,4096,1024,16384,rows_cols,0,134217728,0.000000,134217728,4224,transpose_tiled,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,320.44,0.00,9.562647,22.83
strided_copy_8,8,0,0.008674,0.000619,262144,0,0,256,1024,N,0,2097152,0.000000,2097152,0,strided_8,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,241.77,0.00,0.149416,17.23
strided_copy_8,8,0,0.009340,0.000202,1048576,0,0,256,4096,N,0,8388608,0.000000,8388608,0,strided_8,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,898.14,0.00,0.597665,63.99
strided_copy_8,8,0,0.028868,0.000031,4194304,0,0,256,16384,N,0,33554432,0.000000,33554432,0,strided_8,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,1162.34,0.00,2.390662,82.81
strided_copy_8,8,0,0.322753,0.000046,16777216,0,0,256,65536,N,0,134217728,0.000000,134217728,0,strided_8,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,415.85,0.00,9.562647,29.63
vector_add,12,0,0.008946,0.000464,262144,0,0,256,1024,N,262144,3145728,0.083333,3145728,0,coalesced,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,351.64,29.30,0.224125,25.05
vector_add,12,0,0.009351,0.000265,1048576,0,0,256,4096,N,1048576,12582912,0.083333,12582912,0,coalesced,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,1345.62,112.14,0.896498,95.87
vector_add,12,0,0.106451,0.000240,4194304,0,0,256,16384,N,4194304,50331648,0.083333,50331648,0,coalesced,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,472.82,39.40,3.585993,33.69
vector_add,12,0,0.449989,0.000103,16777216,0,0,256,65536,N,16777216,201326592,0.083333,201326592,0,coalesced,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,447.40,37.28,14.343971,31.88
vector_add_divergent,15,0,0.015417,0.000041,262144,0,0,256,1024,N,262144,3145728,0.083333,3145728,0,divergent,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,204.04,17.00,0.224125,14.54
vector_add_divergent,15,0,0.054719,0.001459,1048576,0,0,256,4096,N,1048576,12582912,0.083333,12582912,0,divergent,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,229.96,19.16,0.896498,16.38
vector_add_divergent,15,0,0.212610,0.000021,4194304,0,0,256,16384,N,4194304,50331648,0.083333,50331648,0,divergent,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,236.73,19.73,3.585993,16.87
vector_add_divergent,15,0,0.840235,0.000058,16777216,0,0,256,65536,N,16777216,201326592,0.083333,201326592,0,divergent,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,449.14,17155.20,239.61,19.97,14.343971,17.07
