kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,N,rows,cols,block,grid_blocks,size_kind,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,conv_padding,gpu_device_name,gpu_cc_major,gpu_cc_minor,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,calibrated_mem_bandwidth_gbps,calibrated_compute_gflops,achieved_bandwidth_gbps,achieved_compute_gflops
conv2d_7x7,--H 4096 --W 4096 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,16,16,1,256,256,1,10,50,10,1.214728,0.000046,0,4096,4096,256,65536,rows_cols,1644167168,134217728,12.250000,134217728,0,stencil_7x7,same,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,110.49,1353.53
dot_product,--N 262144 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce RTX 4070,256,1,1,1024,1,1,20,100,10,0.009614,0.000208,262144,0,0,256,1024,N,524288,2101252,0.249512,2097152,1024,shared_reduction,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,218.56,54.53
dot_product,--N 1048576 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce RTX 4070,256,1,1,4096,1,1,20,100,10,0.014516,0.000047,1048576,0,0,256,4096,N,2097152,8404996,0.249513,8388608,1024,shared_reduction,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,579.02,144.47
dot_product,--N 4194304 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce RTX 4070,256,1,1,16384,1,1,20,100,10,0.051273,0.000022,4194304,0,0,256,16384,N,8388608,33619972,0.249513,33554432,1024,shared_reduction,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,655.71,163.61
dot_product,--N 16777216 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce RTX 4070,256,1,1,65536,1,1,20,100,10,0.294004,0.000066,16777216,0,0,256,65536,N,33554432,134479876,0.249513,134217728,1024,shared_reduction,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,457.41,114.13
histogram,--N 262144 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 4070,256,1,1,1024,1,1,10,50,10,0.014318,0.000022,262144,0,0,256,1024,N,0,2097152,0.000000,1049600,0,atomics_256bins,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,146.47,0.00
histogram,--N 1048576 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 4070,256,1,1,4096,1,1,10,50,10,0.051429,0.000070,1048576,0,0,256,4096,N,0,8388608,0.000000,4195328,0,atomics_256bins,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,163.11,0.00
histogram,--N 4194304 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 4070,256,1,1,16384,1,1,10,50,10,0.199951,0.000279,4194304,0,0,256,16384,N,0,33554432,0.000000,16778240,0,atomics_256bins,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,167.81,0.00
histogram,--N 16777216 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 4070,256,1,1,65536,1,1,10,50,10,0.794261,0.001139,16777216,0,0,256,65536,N,0,134217728,0.000000,67109888,0,atomics_256bins,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,168.98,0.00
matmul_naive,--matN 256 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,16,16,1,16,16,1,10,50,10,0.030144,0.000084,0,256,256,256,256,rows_cols,33554432,786432,42.666667,786432,0,mm_naive,,NVIDIA GeForce RTX 4070,89,0,46,1536,24,65536,102400,37748736,32,449.14,17155.20,26.09,1113.14
