kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,rows,cols,iters,block,grid_blocks,size_kind,N,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,conv_padding,gpu_device_name,gpu_cc_major,gpu_cc_minor,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,calibrated_mem_bandwidth_gbps,calibrated_compute_gflops,achieved_bandwidth_gbps,achieved_compute_gflops
naive_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,8,0,NVIDIA GeForce GTX TITAN X,16,16,1,128,128,1,20,100,10,0.396715,0.000062,2048,2048,0,256,16384,rows_cols,0,0,33554432,0.000000,33554432,0,transpose_naive,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,84.58,0.00
naive_transpose,--rows 4096 --cols 4096 --warmup 20 --reps 100,8,0,NVIDIA GeForce GTX TITAN X,16,16,1,256,256,1,20,100,10,1.526491,0.070366,4096,4096,0,256,65536,rows_cols,0,0,134217728,0.000000,134217728,0,transpose_naive,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,87.93,0.00
random_access,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.036007,0.000036,0,0,0,256,256,N,65536,0,524288,0.000000,524288,0,random_gather_scatter,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,14.56,0.00
random_access,--rows 262144 --cols 1 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,20,100,10,0.036032,0.000037,0,0,0,256,1024,N,262144,0,2097152,0.000000,2097152,0,random_gather_scatter,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,58.20,0.00
random_access,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,20,100,10,0.036018,0.000051,0,0,0,256,4096,N,1048576,0,8388608,0.000000,8388608,0,random_gather_scatter,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,232.90,0.00
random_access,--rows 4194304 --cols 1 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,20,100,10,0.036028,0.000043,0,0,0,256,16384,N,4194304,0,33554432,0.000000,33554432,0,random_gather_scatter,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,931.34,0.00
histogram,--rows 65536 --cols 1 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,10,50,10,0.204566,0.000388,0,0,0,256,256,N,65536,0,524288,0.000000,263168,0,atomics_256bins,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,2.56,0.00
histogram,--rows 262144 --cols 1 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,10,50,10,0.204587,0.000350,0,0,0,256,1024,N,262144,0,2097152,0.000000,1049600,0,atomics_256bins,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,10.25,0.00
histogram,--rows 1048576 --cols 1 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,10,50,10,0.204392,0.000127,0,0,0,256,4096,N,1048576,0,8388608,0.000000,4195328,0,atomics_256bins,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,41.04,0.00
histogram,--rows 4194304 --cols 1 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,10,50,10,0.204507,0.000285,0,0,0,256,16384,N,4194304,0,33554432,0.000000,16778240,0,atomics_256bins,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,164.07,0.00
conv2d_3x3,--rows 256 --cols 256 --warmup 10 --reps 50,30,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.067199,0.000057,256,256,0,256,4096,rows_cols,0,1179648,524288,2.250000,524288,0,stencil_3x3,same,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,7.80,17.55
conv2d_3x3,--rows 512 --cols 512 --warmup 10 --reps 50,30,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.067216,0.000029,512,512,0,256,4096,rows_cols,0,4718592,2097152,2.250000,2097152,0,stencil_3x3,same,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,31.20,70.20
conv2d_3x3,--rows 1024 --cols 1024 --warmup 10 --reps 50,30,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.067220,0.000047,1024,1024,0,256,4096,rows_cols,0,18874368,8388608,2.250000,8388608,0,stencil_3x3,same,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,124.79,280.79
conv2d_3x3,--rows 2048 --cols 2048 --warmup 10 --reps 50,30,0,NVIDIA GeForce GTX TITAN X,16,16,1,64,64,1,10,50,10,0.067206,0.000040,2048,2048,0,256,4096,rows_cols,0,75497472,33554432,2.250000,33554432,0,stencil_3x3,same,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,499.28,1123.37
dot_product,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.045364,0.000210,0,0,0,256,256,N,65536,131072,525316,0.249511,524288,1024,shared_reduction,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,11.58,2.89
dot_product,--rows 262144 --cols 1 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,20,100,10,0.045649,0.000154,0,0,0,256,1024,N,262144,524288,2101252,0.249512,2097152,1024,shared_reduction,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,46.03,11.49
dot_product,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,20,100,10,0.045515,0.000159,0,0,0,256,4096,N,1048576,2097152,8404996,0.249513,8388608,1024,shared_reduction,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,184.66,46.08
dot_product,--rows 4194304 --cols 1 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,20,100,10,0.045596,0.000221,0,0,0,256,16384,N,4194304,8388608,33619972,0.249513,33554432,1024,shared_reduction,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,737.34,183.98
shared_transpose,--rows 512 --cols 512 --warmup 20 --reps 100,10,4224,NVIDIA GeForce GTX TITAN X,32,32,1,16,16,1,20,100,10,0.008741,0.000035,512,512,0,1024,256,rows_cols,0,0,2097152,0.000000,2097152,4224,transpose_tiled,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,239.92,0.00
shared_transpose,--rows 1024 --cols 1024 --warmup 20 --reps 100,10,4224,NVIDIA GeForce GTX TITAN X,32,32,1,32,32,1,20,100,10,0.039154,0.000138,1024,1024,0,1024,1024,rows_cols,0,0,8388608,0.000000,8388608,4224,transpose_tiled,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,214.25,0.00
shared_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,10,4224,NVIDIA GeForce GTX TITAN X,32,32,1,64,64,1,20,100,10,0.145273,0.000330,2048,2048,0,1024,4096,rows_cols,0,0,33554432,0.000000,33554432,4224,transpose_tiled,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,230.98,0.00
shared_transpose,--rows 4096 --cols 4096 --warmup 20 --reps 100,10,4224,NVIDIA GeForce GTX TITAN X,32,32,1,128,128,1,20,100,10,0.560757,0.000225,4096,4096,0,1024,16384,rows_cols,0,0,134217728,0.000000,134217728,4224,transpose_tiled,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,239.35,0.00
shared_bank_conflict,--rows 1 --cols 1 --warmup 20 --reps 100,206,4096,NVIDIA GeForce GTX TITAN X,1024,1,1,1,1,1,20,100,10,0.001362,0.000059,0,0,0,1024,1,N,1,0,0,0.000000,4096,4096,smem_bank_conflict,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,0.00,0.00
strided_copy_8,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.036590,0.000040,0,0,0,256,256,N,65536,0,524288,0.000000,524288,0,strided_8,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,14.33,0.00
strided_copy_8,--rows 262144 --cols 1 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,20,100,10,0.036574,0.000026,0,0,0,256,1024,N,262144,0,2097152,0.000000,2097152,0,strided_8,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,57.34,0.00
