kernel,regs,shmem,reps,mean_ms,std_ms,rows,cols,iters,block,grid_blocks,size_kind,N,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,gpu_device_name,gpu_cc_major,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,calibrated_mem_bandwidth_gbps,calibrated_compute_gflops,achieved_bandwidth_gbps,achieved_compute_gflops,T1_model_ms,speedup_model
shared_bank_conflict,206,4096,100,0.001362,0.000059,0,0,0,1024,1,N,1,0,0,0.000000,4096,4096,smem_bank_conflict,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,0.00,0.00,,
strided_copy_8,8,0,100,0.036590,0.000040,0,0,0,256,256,N,65536,0,524288,0.000000,524288,0,strided_8,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,14.33,0.00,0.065426,1.79
strided_copy_8,8,0,100,0.036574,0.000026,0,0,0,256,1024,N,262144,0,2097152,0.000000,2097152,0,strided_8,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,57.34,0.00,0.261704,7.16
strided_copy_8,8,0,100,0.036573,0.000022,0,0,0,256,4096,N,1048576,0,8388608,0.000000,8388608,0,strided_8,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,229.37,0.00,1.046818,28.62
strided_copy_8,8,0,100,0.036593,0.000024,0,0,0,256,16384,N,4194304,0,33554432,0.000000,33554432,0,strided_8,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,916.96,0.00,4.187271,114.43
reduce_sum,10,1024,100,0.037693,0.000098,0,0,0,256,256,N,65536,65535,263172,0.249020,262144,1024,shared_reduction,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,6.98,1.74,0.032841,0.87
reduce_sum,10,1024,100,0.037800,0.000009,0,0,0,256,1024,N,262144,262143,1052676,0.249025,1048576,1024,shared_reduction,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,27.85,6.94,0.131364,3.48
reduce_sum,10,1024,100,0.037699,0.000104,0,0,0,256,4096,N,1048576,1048575,4210692,0.249027,4194304,1024,shared_reduction,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,111.69,27.81,0.525454,13.94
reduce_sum,10,1024,100,0.037746,0.000068,0,0,0,256,16384,N,4194304,4194303,16842756,0.249027,16777216,1024,shared_reduction,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,446.21,111.12,2.101814,55.68
conv2d_7x7,40,0,50,0.267757,0.000051,256,256,0,256,4096,rows_cols,0,6422528,524288,12.250000,524288,0,stencil_7x7,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,1.96,23.99,0.065426,0.24
conv2d_7x7,40,0,50,0.267814,0.000051,512,512,0,256,4096,rows_cols,0,25690112,2097152,12.250000,2097152,0,stencil_7x7,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,7.83,95.93,0.261704,0.98
conv2d_7x7,40,0,50,0.267814,0.000029,1024,1024,0,256,4096,rows_cols,0,102760448,8388608,12.250000,8388608,0,stencil_7x7,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,31.32,383.70,1.046818,3.91
conv2d_7x7,40,0,50,0.267808,0.000044,2048,2048,0,256,4096,rows_cols,0,411041792,33554432,12.250000,33554432,0,stencil_7x7,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,125.29,1534.84,4.187271,15.64
matmul_naive,40,0,50,0.574897,0.000357,128,128,0,256,1024,rows_cols,0,4194304,196608,21.333333,196608,0,mm_naive,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,0.34,7.30,0.024535,0.04
matmul_naive,40,0,50,0.667630,0.000475,256,256,0,256,1024,rows_cols,0,33554432,786432,42.666667,786432,0,mm_naive,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,1.18,50.26,0.172994,0.26
matmul_naive,40,0,50,0.666912,0.000693,512,512,0,256,1024,rows_cols,0,268435456,3145728,85.333333,3145728,0,mm_naive,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,4.72,402.51,1.383955,2.08
matmul_naive,40,0,50,0.666831,0.000686,1024,1024,0,256,1024,rows_cols,0,2147483648,12582912,170.666667,12582912,0,mm_naive,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,18.87,3220.43,11.071643,16.60
matmul_naive,40,0,50,0.666934,0.000521,2048,2048,0,256,1024,rows_cols,0,17179869184,50331648,341.333333,50331648,0,mm_naive,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,75.47,25759.47,88.573148,132.81
matmul_tiled,37,8192,50,0.269027,0.000145,128,128,0,1024,256,rows_cols,0,4194304,196608,21.333333,196608,8192,mm_tiled,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,0.73,15.59,0.024535,0.09
matmul_tiled,37,8192,50,0.269090,0.000095,256,256,0,1024,256,rows_cols,0,33554432,786432,42.666667,786432,8192,mm_tiled,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,2.92,124.70,0.172994,0.64
matmul_tiled,37,8192,50,0.311206,0.000164,512,512,0,1024,256,rows_cols,0,268435456,3145728,85.333333,3145728,8192,mm_tiled,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,10.11,862.57,1.383955,4.45
matmul_tiled,37,8192,50,0.311291,0.000121,1024,1024,0,1024,256,rows_cols,0,2147483648,12582912,170.666667,12582912,8192,mm_tiled,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,40.42,6898.64,11.071643,35.57
matmul_tiled,37,8192,50,0.311182,0.000121,2048,2048,0,1024,256,rows_cols,0,17179869184,50331648,341.333333,50331648,8192,mm_tiled,NVIDIA GeForce GTX TITAN X,52,24,2048,32,65536,98304,3145728,32,256.43,6206.80,161.74,55208.43,88.573148,284.63
