kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,N,rows,cols,iters,block,grid_blocks,size_kind,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,conv_padding,gpu_device_name,gpu_cc_major,gpu_cc_minor,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,calibrated_mem_bandwidth_gbps,calibrated_compute_gflops,achieved_bandwidth_gbps,achieved_compute_gflops
histogram,--N 1048576 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA TITAN V,256,1,1,4096,1,1,10,50,10,0.067764,0.000045,1048576,0,0,0,256,4096,N,0,8388608,0.000000,4195328,0,atomics_256bins,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,123.79,0.00
histogram,--N 4194304 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA TITAN V,256,1,1,16384,1,1,10,50,10,0.263057,0.000229,4194304,0,0,0,256,16384,N,0,33554432,0.000000,16778240,0,atomics_256bins,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,127.56,0.00
histogram,--N 8388608 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA TITAN V,256,1,1,32768,1,1,10,50,10,0.523311,0.000026,8388608,0,0,0,256,32768,N,0,67108864,0.000000,33555456,0,atomics_256bins,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,128.24,0.00
matmul_naive,--matN 256 --warmup 10 --reps 50,40,0,NVIDIA TITAN V,16,16,1,16,16,1,10,50,10,0.029174,0.000034,0,256,256,0,256,256,rows_cols,33554432,786432,42.666667,786432,0,mm_naive,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,26.96,1150.15
matmul_naive,--matN 512 --warmup 10 --reps 50,40,0,NVIDIA TITAN V,16,16,1,32,32,1,10,50,10,0.171821,0.001024,0,512,512,0,256,1024,rows_cols,268435456,3145728,85.333333,3145728,0,mm_naive,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,18.31,1562.30
matmul_naive,--matN 1024 --warmup 10 --reps 50,40,0,NVIDIA TITAN V,16,16,1,64,64,1,10,50,10,1.139712,0.039379,0,1024,1024,0,256,4096,rows_cols,2147483648,12582912,170.666667,12582912,0,mm_naive,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,11.04,1884.23
matmul_naive,--matN 2048 --warmup 10 --reps 50,40,0,NVIDIA TITAN V,16,16,1,128,128,1,10,50,10,9.412546,0.004490,0,2048,2048,0,256,16384,rows_cols,17179869184,50331648,341.333333,50331648,0,mm_naive,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,5.35,1825.21
matmul_tiled,--matN 256 --warmup 10 --reps 50,37,8192,NVIDIA TITAN V,32,32,1,8,8,1,10,50,10,0.016286,0.000042,0,256,256,0,1024,64,rows_cols,33554432,786432,42.666667,786432,8192,mm_tiled,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,48.29,2060.32
matmul_tiled,--matN 512 --warmup 10 --reps 50,37,8192,NVIDIA TITAN V,32,32,1,16,16,1,10,50,10,0.095146,0.000119,0,512,512,0,1024,256,rows_cols,268435456,3145728,85.333333,3145728,8192,mm_tiled,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,33.06,2821.30
matmul_tiled,--matN 1024 --warmup 10 --reps 50,37,8192,NVIDIA TITAN V,32,32,1,32,32,1,10,50,10,0.616319,0.001943,0,1024,1024,0,1024,1024,rows_cols,2147483648,12582912,170.666667,12582912,8192,mm_tiled,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,20.42,3484.37
